OrganismRowID,OrganismCodeMaster,CommonNameMaster,OrganismCodeSTN,FieldNameSTN,OrganismCodeMWT,FieldNameMWT,OrganismSymbol,Active,CommonName,Phylum,Class,Order,Family,Genus,Species
59,4998,fish unknown,99,UNKNOWN,,,UND,TRUE,Unknown Fish (UNID),Chordata,NA,NA,Unknown,Unknown,Unknown
60,,flatfish (Unid),121,,84,FLATFISH,,TRUE,Flatfish (Unid),Chordata,NA,NA,NA,NA,NA
61,3127,flounder (Unid) (right-eyed),,,,,,TRUE,,,,,,,
62,2409,fluffy sculpin,,,,,,TRUE,,,,,,,
63,,freshwater eel (American eel?),153,,,,,TRUE,Freshwater Eel,Chordata,NA,NA,NA,Anguilla,NA
64,2869,goby (Unid),11,GOBYFAML,,,GOB,TRUE,Gobies (Unid),Chordata,NA,NA,Gobiidae,NA,NA
65,2884,"goby II (arrow, cheekspot, yellowfin)",,,,,,TRUE,,,,,,,
66,7060,golden shiner,25,GOLDSHNR,65,GOLDSHNR,GSH,TRUE,Golden Shiner,Chordata,NA,NA,Cyprinidae,Notemigonus,chrysoluecas
67,7063,goldfish,27,GOLDFISH,64,GOLDFISH,GF,TRUE,Goldfish,Chordata,NA,NA,Cyprinidae,Carrassius,auratus
68,1501,green sturgeon,23,GRNSTURG,36,GRNSTURG,GST,TRUE,Green Sturgeon,Chordata,NA,NA,Acipenseridae,Acipenser,medirostrus
69,7146,green sunfish,37,GRNSUNF,53,GRNSNFSH,GSN,TRUE,Green Sunfish,Chordata,NA,NA,Centrarchidae,Lepomis,cyanellus
70,135,grey smoothhound,126,,67,GRYSMHND,,TRUE,Grey Smoothhound,Chordata,NA,NA,Carcharhinidae,Mustelus,californica
71,7058,hardhead,29,HARDHEAD,,,HH,TRUE,Hardhead,Chordata,NA,NA,Cyprinidae,Mylopharodon,conocephalus
72,1000,herring (shads) (Unid),4,SHADFMLY,,,CLU,TRUE,Herring (Unid),Chordata,NA,NA,Clupeidae,NA,NA
73,7051,hitch,57,HITCH,61,HITCH,HIT,TRUE,Hitch,Chordata,NA,NA,Cyprinidae,Lavinia,exilicauda
74,3125,hornyhead turbot,,,,,,TRUE,,,,,,,
75,3112,hybrid sole (forkline),,,,,,TRUE,,,,,,,
76,2607,jack mackerel,,,,,,TRUE,,,,,,,
77,2692,jacksmelt,34,JACKSMLT,8,JACKSMLT,JS,TRUE,Jacksmelt,Chordata,NA,NA,Atherinopsidae,Atherinopsis,californiensis
78,,jellyfish (Unid),188,,98,,JEL,TRUE,jelly (UNID),Cnidaria,,,,,
79,2661,kelp greenling,,,,,,TRUE,,,,,,,
80,20,lamprey (Unid),60,LAMPREYF,,,PET,TRUE,Lampreys (Unid),Chordata,NA,NA,Petromyzontidae,NA,NA
81,7150,largemouth bass,39,LRGMBASS,55,LMTHBASS,LMB,TRUE,Largemouth Bass,Chordata,NA,NA,Centrarchidae,Micropterus,salmoides
82,140,leopard shark,105,,58,LEOPSHRK,,TRUE,Leopard Shark,Chordata,NA,NA,Triakidae,Triakis,semifasciata
83,2664,lingcod,127,,86,LINGCOD,,TRUE,Lingcod,Chordata,NA,NA,Hexagrammidae,Ophiodon,elongatus
84,1204,longfin smelt,2,LGFNSMLT,25,LNGFSMLT,LFS,TRUE,Longfin Smelt,Chordata,NA,NA,Osmeridae,Spirinchus,thaleichtys
85,2878,longjaw mudsucker,69,LNGJAWMD,,,LJM,TRUE,Longjaw Mudsucker,Chordata,NA,NA,Gobiidae,Gillichthys,mirabilis
86,,Maeotias marginata,157,,101,,MAE,TRUE,Maeotias,Cnidaria,NA,NA,NA,Maeotias,marginata
87,7079,minnow (Unid),24,MINNOWS,,,CYP,TRUE,Cyprinids (Unid),Chordata,NA,NA,Cyprinidae,NA,NA
